symbol
AAPL
ABBV
ABNB
ABT
ACN
ADBE
ADI
ADP
ADSK
AEP
AES
AFL
AIG
AKAM
ALB
ALL
AMAT
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
APA
APD
APH
APP
ARM
ASML
AVGO
AXP
AZO
BA
BAC
BBY
BDX
BIIB
BKNG
BKR
BLK
BMY
BSX
BX
C
CAH
CARR
CAT
CB
CCI
CDNS
CDW
CEG
CF
CFG
CHTR
CI
CL
CLX
CMCSA
CME
CMG
CMI
CNC
CNP
COF
COIN
COO
COP
COR
COST
CPB
CPRT
CRH
CRM
CRWD
CSCO
CSX
CTAS
CTSH
CTVA
CVS
CVX
D
DAL
DASH
DD
DE
DELL
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DOV
DOW
DPZ
DUK
DVN
DXCM
EA
EBAY
ECL
EFX
EIX
EL
ELV
EMN
EMR
ENPH
EOG
EPAM
EQIX
EQR
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDX
FE
FFIV
FICO
FIS
FITB
FMC
FOX
FOXA
FSLR
FTNT
FTV
GD
GDDY
GE
GEHC
GEN
GEV
GILD
GIS
GL
GLW
GM
GOOG
GOOGL
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HIG
HLT
HON
HOOD
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
HWM
IBKR
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INTC
INTU
IP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JCI
JKHY
JNJ
JPM
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KR
L
LDOS
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNT
LOW
LRCX
LULU
LUV
LVS
LW
LYB
LYV
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MKC
MLM
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
NCLH
NDAQ
NEE
NEM
NFLX
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PAYC
PAYX
PCAR
PCG
PDD
PEG
PEP
PFE
PG
PGR
PH
PHM
PKG
PLD
PLTR
PM
PNC
PNR
PNW
POOL
PPG
PPL
PRU
PSA
PSX
PTC
PWR
PYPL
QCOM
RCL
REG
REGN
RF
RIVN
RJF
RMD
ROK
ROL
ROP
ROST
RSG
RTX
RVTY
SBAC
SBUX
SCHW
SHOP
SHW
SJM
SLB
SMCI
SNOW
SNPS
SO
SOFI
SPG
SPGI
SPOT
SRE
STE
STLD
STT
STX
STZ
SU
SUI
SWK
SWKS
SYF
SYK
SYY
T
TDG
TDY
TEAM
TECH
TEL
TER
TFC
TGT
TJX
TKO
TMO
TMUS
TPR
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTD
TTWO
TXN
TXT
TYL
UAL
UBER
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VEEV
VICI
VLO
VMC
VRSK
VRSN
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBD
WCN
WDAY
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WST
WTW
WY
WYNN
XEL
XOM
XYL
YUM
ZBH
ZBRA
ZS
ZTS
